impl,mode,bytes,proc_ms,io_ms,VmRSS_KiB,alpha,align,misalign
serial,upper,16384,0.055,0.101,3548,80,32,0
cuda,upper,16384,131.343,0.199438,98444,80,32,0
serial,lower,16384,0.052,0.089,3408,80,32,0
cuda,lower,16384,131.924,0.199729,98536,80,32,0
serial,upper,16384,0.055,0.119,3548,80,32,7
cuda,upper,16384,131.024,0.186324,98472,80,32,7
serial,lower,16384,0.052,0.088,3268,80,32,7
cuda,lower,16384,135.237,0.203085,98544,80,32,7
serial,upper,16384,0.062,0.075,3548,90,32,0
cuda,upper,16384,134.598,0.190642,98520,90,32,0
serial,lower,16384,0.072,0.101,3404,90,32,0
cuda,lower,16384,131.227,0.183651,98572,90,32,0
serial,upper,16384,0.056,0.075,3284,90,32,7
cuda,upper,16384,131.015,0.213554,98524,90,32,7
serial,lower,16384,0.056,0.085,3280,90,32,7
cuda,lower,16384,134.272,0.204728,98748,90,32,7
serial,upper,32768,0.017,0.101,3484,0,32,0
cuda,upper,32768,130.5,0.265116,98656,0,32,0
serial,lower,32768,0.022,0.097,3388,0,32,0
cuda,lower,32768,132.815,0.293567,98416,0,32,0
serial,upper,32768,0.017,0.105,3540,0,32,7
cuda,upper,32768,133.443,0.265788,98584,0,32,7
serial,lower,32768,0.030,0.155,3548,0,32,7
cuda,lower,32768,133.723,0.260597,98528,0,32,7
serial,upper,32768,0.030,0.108,3440,10,32,0
cuda,upper,32768,134.491,0.256121,98392,10,32,0
serial,lower,32768,0.037,0.177,3408,10,32,0
cuda,lower,32768,134.027,0.227218,98296,10,32,0
serial,upper,32768,0.030,0.130,3444,10,32,7
cuda,upper,32768,132.566,0.259305,98540,10,32,7
serial,lower,32768,0.037,0.127,3548,10,32,7
cuda,lower,32768,136.451,0.236394,98388,10,32,7
serial,upper,32768,0.033,0.110,3548,20,32,0
cuda,upper,32768,136.735,0.26133,98416,20,32,0
serial,lower,32768,0.045,0.123,3220,20,32,0
cuda,lower,32768,131.489,0.261811,98584,20,32,0
serial,upper,32768,0.043,0.167,3548,20,32,7
cuda,upper,32768,135.586,0.239791,98824,20,32,7
serial,lower,32768,0.045,0.095,3312,20,32,7
cuda,lower,32768,133.103,0.258053,98208,20,32,7
serial,upper,32768,0.061,0.126,3532,30,32,0
